Spring    ,CHURCH / SYNAGOGUE / PLACE OF WORSHIP                       ,        39
Spring    ,CHURCH/SYNAGOGUE/PLACE OF WORSHIP                           ,      3484
Spring    ,CLEANERS/LAUNDROMAT                                         ,         1
Spring    ,CLEANING STORE                                              ,       987
Spring    ,CLUB                                                        ,         5
Spring    ,COACH HOUSE                                                 ,         1
Spring    ,COIN OPERATED MACHINE                                       ,       241
Spring    ,COLLEGE / UNIVERSITY - GROUNDS                              ,         6
Spring    ,COLLEGE / UNIVERSITY - RESIDENCE HALL                       ,         1
Spring    ,COLLEGE/UNIVERSITY GROUNDS                                  ,      1436
Spring    ,COLLEGE/UNIVERSITY RESIDENCE HALL                           ,       404
Spring    ,COMMERCIAL / BUSINESS OFFICE                                ,     10925
Spring    ,CONSTRUCTION SITE                                           ,      2821
Spring    ,CONVENIENCE STORE                                           ,      4686
Spring    ,COUNTY JAIL                                                 ,         1
Spring    ,CREDIT UNION                                                ,       111
Spring    ,CTA "L" PLATFORM                                            ,         3
Spring    ,CTA "L" TRAIN                                               ,         1
Spring    ,CTA BUS                                                     ,      5385
Spring    ,CTA BUS STOP                                                ,      1660
Spring    ,CTA GARAGE / OTHER PROPERTY                                 ,      2337
Spring    ,CTA PARKING LOT / GARAGE / OTHER PROPERTY                   ,        13
Spring    ,CTA PLATFORM                                                ,      8474
Spring    ,CTA PROPERTY                                                ,         1
Spring    ,CTA STATION                                                 ,      1279
Spring    ,CTA TRACKS - RIGHT OF WAY                                   ,        37
Spring    ,CTA TRAIN                                                   ,      6217
Spring    ,CURRENCY EXCHANGE                                           ,      2538
Spring    ,DAY CARE CENTER                                             ,       727
Spring    ,DELIVERY TRUCK                                              ,       188
Spring    ,DEPARTMENT STORE                                            ,     19469
Spring    ,DRIVEWAY                                                    ,         5
Spring    ,DRIVEWAY - RESIDENTIAL                                      ,      4488
Spring    ,DRUG STORE                                                  ,      7336
Spring    ,DUMPSTER                                                    ,         2
Spring    ,FACTORY                                                     ,         1
Spring    ,FACTORY / MANUFACTURING BUILDING                            ,        12
Spring    ,FACTORY/MANUFACTURING BUILDING                              ,      1425
Spring    ,FARM                                                        ,         4
Spring    ,FEDERAL BUILDING                                            ,       155
Spring    ,FIRE STATION                                                ,       239
Spring    ,FOREST PRESERVE                                             ,        66
Spring    ,GANGWAY                                                     ,        11
Spring    ,GARAGE                                                      ,        10
Spring    ,GARAGE/AUTO REPAIR                                          ,         3
Spring    ,GAS STATION                                                 ,     17558
Spring    ,GAS STATION DRIVE/PROP.                                     ,         8
Spring    ,GOVERNMENT BUILDING / PROPERTY                              ,        28
Spring    ,GOVERNMENT BUILDING/PROPERTY                                ,      3367
Spring    ,GROCERY FOOD STORE                                          ,     19956
Spring    ,HALLWAY                                                     ,        15
Spring    ,HIGHWAY / EXPRESSWAY                                        ,         3
Spring    ,HIGHWAY/EXPRESSWAY                                          ,       254
Spring    ,HORSE STABLE                                                ,         1
Spring    ,HOSPITAL                                                    ,         1
Spring    ,HOSPITAL BUILDING / GROUNDS                                 ,       103
Spring    ,HOSPITAL BUILDING/GROUNDS                                   ,      4935
Spring    ,HOTEL                                                       ,         7
Spring    ,HOTEL / MOTEL                                               ,       112
Spring    ,HOTEL/MOTEL                                                 ,      6780
Spring    ,HOUSE                                                       ,       143
Spring    ,JAIL / LOCK-UP FACILITY                                     ,       258
Spring    ,KENNEL                                                      ,         2
