              6,INTIMIDATION                                                                                        ,        34
              6,KIDNAPPING                                                                                          ,        93
              6,LIQUOR LAW VIOLATION                                                                                ,        35
              6,MOTOR VEHICLE THEFT                                                                                 ,      7998
              6,NARCOTICS                                                                                           ,      3551
              6,NON-CRIMINAL                                                                                        ,         4
              6,OBSCENITY                                                                                           ,        14
              6,OFFENSE INVOLVING CHILDREN                                                                          ,       475
              6,OTHER OFFENSE                                                                                       ,      6191
              6,PROSTITUTION                                                                                        ,      3283
              6,PUBLIC INDECENCY                                                                                    ,         2
              6,PUBLIC PEACE VIOLATION                                                                              ,       326
              6,ROBBERY                                                                                             ,      4500
              6,SEX OFFENSE                                                                                         ,       425
              6,STALKING                                                                                            ,        77
              6,THEFT                                                                                               ,     21118
              6,WEAPONS VIOLATION                                                                                   ,       632
              7,ARSON                                                                                               ,       248
              7,ASSAULT                                                                                             ,      7784
              7,BATTERY                                                                                             ,     21129
              7,BURGLARY                                                                                            ,     19684
              7,CONCEALED CARRY LICENSE VIOLATION                                                                   ,        28
              7,CRIM SEXUAL ASSAULT                                                                                 ,       570
              7,CRIMINAL DAMAGE                                                                                     ,     19082
              7,CRIMINAL SEXUAL ASSAULT                                                                             ,        13
              7,CRIMINAL TRESPASS                                                                                   ,      4294
              7,DECEPTIVE PRACTICE                                                                                  ,      3830
              7,GAMBLING                                                                                            ,        46
              7,HOMICIDE                                                                                            ,       207
              7,HUMAN TRAFFICKING                                                                                   ,         1
              7,INTERFERENCE WITH PUBLIC OFFICER                                                                    ,       126
              7,INTIMIDATION                                                                                        ,        82
              7,KIDNAPPING                                                                                          ,       274
              7,LIQUOR LAW VIOLATION                                                                                ,        26
              7,MOTOR VEHICLE THEFT                                                                                 ,     10205
              7,NARCOTICS                                                                                           ,      4539
              7,NON - CRIMINAL                                                                                      ,         4
              7,NON-CRIMINAL                                                                                        ,         5
              7,OBSCENITY                                                                                           ,        11
              7,OFFENSE INVOLVING CHILDREN                                                                          ,      1072
              7,OTHER NARCOTIC VIOLATION                                                                            ,         1
              7,OTHER OFFENSE                                                                                       ,     10056
              7,PROSTITUTION                                                                                        ,      4107
              7,PUBLIC INDECENCY                                                                                    ,         9
              7,PUBLIC PEACE VIOLATION                                                                              ,       511
              7,ROBBERY                                                                                             ,      4323
              7,SEX OFFENSE                                                                                         ,       768
              7,STALKING                                                                                            ,       142
              7,THEFT                                                                                               ,     33837
              7,WEAPONS VIOLATION                                                                                   ,       750
              8,ARSON                                                                                               ,       224
              8,ASSAULT                                                                                             ,     14245
              8,BATTERY                                                                                             ,     31661
              8,BURGLARY                                                                                            ,     24637
              8,CONCEALED CARRY LICENSE VIOLATION                                                                   ,        13
              8,CRIM SEXUAL ASSAULT                                                                                 ,       609
              8,CRIMINAL DAMAGE                                                                                     ,     24063
              8,CRIMINAL SEXUAL ASSAULT                                                                             ,        15
              8,CRIMINAL TRESPASS                                                                                   ,      6284
              8,DECEPTIVE PRACTICE                                                                                  ,     11198
              8,GAMBLING                                                                                            ,        80
              8,HOMICIDE                                                                                            ,       210
              8,HUMAN TRAFFICKING                                                                                   ,         2
              8,INTERFERENCE WITH PUBLIC OFFICER                                                                    ,       208
              8,INTIMIDATION                                                                                        ,       155
              8,KIDNAPPING                                                                                          ,       469
              8,LIQUOR LAW VIOLATION                                                                                ,        66
              8,MOTOR VEHICLE THEFT                                                                                 ,     11632
              8,NARCOTICS                                                                                           ,      9686
              8,NON - CRIMINAL                                                                                      ,         1
              8,NON-CRIMINAL                                                                                        ,         9
              8,OBSCENITY                                                                                           ,        36
              8,OFFENSE INVOLVING CHILDREN                                                                          ,      1887
              8,OTHER NARCOTIC VIOLATION                                                                            ,         1
              8,OTHER OFFENSE                                                                                       ,     16902
              8,PROSTITUTION                                                                                        ,      3482
              8,PUBLIC INDECENCY                                                                                    ,         6
              8,PUBLIC PEACE VIOLATION                                                                              ,       989
              8,ROBBERY                                                                                             ,      4979
              8,SEX OFFENSE                                                                                         ,      1134
              8,STALKING                                                                                            ,       181
              8,THEFT                                                                                               ,     51379
